EVENT	HeLa_CNTRL	HeLa_CNTRL_A	HeLa_CNTRL_B	HeLa_CNTRL_C	HeLa_SON	HeLa_SON_A	HeLa_SON_B	HeLa_SON_C	HeLa_SRRM2	HeLa_SRRM2_A	HeLa_SRRM2_B	HeLa_SRRM2_C	HepG2_CNTRL	HepG2_CNTRL_A	HepG2_CNTRL_B	HepG2_CNTRL_C	HepG2_MARS	HepG2_MARS_Aa	HepG2_MARS_Ab	HepG2_MARS_Ba	HepG2_MARS_Bb	HepG2_MARS_Ca	HepG2_MARS_Cb	HepG2_RARS	HepG2_RARS_A	HepG2_RARS_B	HepG2_RARS_C	HepG2_SRRM2	HepG2_SRRM2_Aa	HepG2_SRRM2_Ab	HepG2_SRRM2_Ba	HepG2_SRRM2_Bb	HepG2_SRRM2_Ca	HepG2_SRRM2_Cb
LMNB2=HsaEX0036054	98.43	99.13	98.42	97.62	73.35	72.84	73.18	74.04	99.13	99.18	99.08	99.12	99.42	99.54	98.95	99.85	99.66	99.46	100.00	100.00	100.00	100.00	98.78	98.97	98.79	99.17	98.99	99.61	99.04	99.36	99.59	99.60	100.00	100.00
C8orf59=HsaEX6081314	48.64	50.63	41.18	52.78	37.25	45.45	32.71	NA	46.98	52.41	42.92	45.53	28.34	25.07	28.47	30.02	31.55	34.08	38.30	26.99	34.36	23.95	19.66	29.16	29.37	34.15	25.42	38.55	43.92	36.26	35.66	37.00	42.19	36.02
LRRC37A3=HsaEX0036584	92.59	90.00	100.00	NA	96.08	100.00	88.89	NA	88.24	NA	NA	82.61	81.64	84.16	77.36	84.42	86.26	NA	95.65	75.76	NA	96.97	89.47	87.97	83.33	91.40	90.32	85.67	84.91	80.65	91.30	77.78	90.00	89.09
MAMSTR=HsaEX0037352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.62	42.31	32.14	35.29	52.54	56.76	68.75	53.12	46.88	58.73	35.71	26.92	29.23	18.37	33.33	56.85	39.39	71.43	52.54	31.58	70.59	76.19
EFCAB5=HsaEX1012737	44.83	47.54	NA	NA	46.38	50.00	46.67	NA	36.97	NA	35.00	40.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPP7=HsaEX0020850	90.41	88.89	91.11	91.49	68.42	NA	NA	NA	100.00	100.00	100.00	100.00	94.44	100.00	NA	NA	86.99	87.10	80.65	100.00	90.91	NA	NA	94.12	NA	NA	NA	90.48	NA	NA	NA	NA	NA	NA
DPP7=HsaEX0020851	93.82	93.84	95.05	91.74	49.50	NA	NA	NA	63.71	50.44	61.48	75.13	NA	NA	NA	NA	30.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTHFR=HsaEX0040511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.48	NA	4.35	NA	14.75	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	15.07	NA	NA	NA	NA	NA	NA
CHD9=HsaEX0015123	NA	NA	NA	NA	NA	NA	NA	NA	33.56	NA	36.45	NA	0.66	1.37	1.41	0.00	0.00	NA	NA	NA	NA	0.00	0.00	1.10	0.00	0.00	2.44	0.00	NA	NA	NA	NA	NA	NA
PDDC1=HsaEX0046158	78.46	100.00	NA	60.00	87.10	NA	NA	NA	79.22	76.92	NA	85.19	94.96	94.54	94.04	96.24	95.70	94.55	93.46	95.63	92.84	97.99	98.58	94.02	94.02	93.00	95.10	92.41	90.41	90.75	93.82	92.05	91.21	97.25
ZBTB33=HsaEX0072135	63.07	70.69	58.33	57.58	78.28	80.20	76.09	NA	60.71	64.34	55.36	61.59	10.12	6.84	14.11	10.84	12.82	NA	0.00	NA	NA	11.48	20.00	6.55	7.69	6.29	5.80	9.27	5.56	11.11	NA	NA	8.11	8.00
SLC25A22=HsaEX1037283	74.39	75.00	NA	NA	52.63	NA	NA	NA	62.64	57.69	59.18	67.90	49.86	NA	47.52	NA	44.42	39.68	NA	NA	NA	60.98	33.96	47.86	51.35	36.07	61.90	48.59	NA	44.72	NA	NA	NA	49.15
SRRM3=HsaEX0061792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA
CRACR2B=HsaEX0021670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.67	73.60	74.10	81.40	64.91	71.89	66.86	63.43	70.00	64.88	53.85	75.69	75.69	74.34	76.98	76.05	81.82	71.90	75.44	76.62	81.13	68.70
CHID1=HsaEX1008705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	83.84	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	74.87	NA	NA	NA	NA	NA	NA
LRRC75B=HsaEX0010619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.24	31.38	30.90	31.50	29.89	27.36	27.68	34.62	27.84	46.71	19.14	25.39	23.58	21.68	33.82	30.05	17.22	24.66	33.45	21.93	41.28	41.14
IMPDH2=HsaEX0031614	98.88	98.63	99.17	98.88	62.83	63.48	61.50	63.36	99.59	100.00	99.41	99.39	97.52	98.78	97.46	96.14	98.50	98.60	99.23	97.83	97.79	98.59	98.95	97.93	97.87	98.03	97.91	97.38	96.53	95.91	97.52	96.69	98.51	98.90
GRAMD1C=HsaEX0028519	100.00	NA	NA	NA	100.00	NA	NA	NA	88.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZC3H12D=HsaEX0072223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.78	87.50	76.74	88.89	93.94	100.00	NA	NA	NA	92.00	NA	81.33	NA	90.00	100.00	95.85	100.00	91.67	100.00	100.00	87.10	100.00
PLEC=HsaEX0048201	97.37	92.31	100.00	NA	56.25	50.94	74.19	50.00	92.45	89.47	92.59	95.12	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
GPR35=HsaEX0028398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.35	37.72	44.78	41.25	36.38	31.37	30.77	35.52	37.44	41.88	41.78	36.46	37.41	37.90	32.91	32.06	28.42	20.86	43.23	29.70	41.56	34.38
ZNF713=HsaEX0074250	7.41	3.45	2.70	14.29	9.09	3.03	9.09	NA	6.82	11.11	NA	2.44	29.67	35.14	33.33	16.67	27.10	23.08	9.09	NA	NA	NA	NA	25.53	31.25	19.15	NA	22.86	NA	NA	NA	NA	NA	NA
FAM219B=HsaEX0009533	63.10	NA	NA	NA	31.90	NA	NA	NA	53.98	NA	NA	54.65	59.71	65.47	56.79	56.14	59.31	67.65	55.41	56.87	82.22	52.65	51.25	54.99	57.20	56.67	50.45	55.57	52.00	50.18	53.70	64.96	60.78	58.18
CPNE7=HsaEX0017017	NA	NA	NA	NA	72.73	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPNE7=HsaEX0017019	52.18	NA	NA	NA	51.38	NA	NA	NA	25.03	20.38	NA	23.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFAS=HsaEX0046698	98.94	97.47	100.00	100.00	40.51	36.00	36.17	47.54	92.81	95.24	94.44	90.16	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	99.11	99.16	100.00	100.00	100.00	100.00
GAK=HsaEX0026828	82.44	82.69	81.08	83.33	36.30	36.28	29.90	43.90	75.58	73.33	83.16	70.87	95.13	92.68	97.11	94.90	96.65	97.44	97.60	94.48	96.92	97.22	96.35	96.38	95.07	97.27	96.96	93.15	94.72	93.25	90.20	91.19	93.71	95.05
AURKB=HsaEX0007344	94.29	93.15	95.18	94.69	38.75	37.92	37.55	40.77	93.17	92.95	91.86	94.34	96.44	97.41	96.96	94.99	97.98	98.21	97.81	98.60	98.46	95.93	99.03	97.18	96.60	97.61	97.58	97.87	97.48	99.54	98.07	94.79	98.56	99.03
SAMD4B=HsaEX0056165	3.64	2.44	4.76	3.70	3.85	3.85	NA	5.56	4.67	0.00	2.70	9.52	18.48	13.83	18.71	23.42	12.52	15.07	13.33	13.16	14.29	9.49	12.57	10.27	8.85	9.84	12.88	11.98	10.69	7.91	21.88	8.33	14.29	12.70
LINC00174=HsaEX1019753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.49	63.64	60.00	35.85	43.86	NA	NA	NA	NA	NA	NA	61.67	53.57	NA	76.47	68.00	NA	NA	NA	NA	NA	NA
LINC00174=HsaEX1019754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.90	9.09	12.50	NA	15.00	NA	NA	NA	NA	NA	NA	24.00	NA	NA	25.00	2.56	NA	NA	NA	NA	NA	NA
SHARPIN=HsaEX0058132	76.60	NA	NA	NA	NA	NA	NA	NA	61.25	NA	NA	15.02	90.83	93.20	92.63	86.28	89.88	90.78	88.82	93.62	90.11	85.04	89.70	88.86	90.57	89.60	84.42	86.12	82.18	91.06	78.25	85.43	86.20	89.92
MAF1=HsaEX0037234	100.00	100.00	100.00	100.00	80.60	80.00	71.43	91.49	99.67	100.00	99.03	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.78	99.64	100.00	99.72	99.76	99.70	99.70	100.00	99.14	100.00	100.00
MROH1=HsaEX1024204	24.61	35.08	19.96	20.51	20.04	19.34	NA	NA	9.01	16.84	0.00	8.49	7.07	6.10	5.51	9.41	7.52	14.72	4.08	6.61	8.35	7.49	3.59	6.29	6.44	2.80	8.94	12.56	15.17	15.12	11.70	2.95	15.51	11.48
RCC1=HsaEX0052877	0.90	1.07	0.54	1.08	0.52	0.45	0.44	0.66	0.39	0.36	0.43	0.40	17.69	15.37	19.00	18.19	14.00	15.69	14.24	12.84	12.95	15.93	12.26	15.77	14.92	16.94	15.64	22.15	21.02	20.23	24.62	19.86	27.72	21.54
MTURN=HsaEX0011438	75.96	71.83	75.38	82.98	84.21	83.33	89.19	80.49	74.30	72.09	84.38	66.67	74.61	71.68	85.71	65.31	69.73	64.04	61.11	61.76	84.00	76.92	77.78	74.62	78.57	78.15	67.41	60.80	57.78	62.50	64.91	62.96	50.00	67.21
EMC3-AS1=HsaEX1013032	91.78	NA	NA	NA	90.58	NA	NA	NA	80.60	NA	NA	88.74	74.87	72.66	89.60	NA	43.87	NA	NA	NA	NA	NA	NA	75.69	NA	NA	NA	32.47	19.95	NA	NA	NA	NA	NA
MAP3K15=HsaEX0037548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.22	94.29	89.47	94.12	94.48	100.00	92.59	82.61	100.00	90.91	100.00	92.37	88.00	100.00	87.50	92.21	NA	NA	NA	NA	NA	100.00
MAP3K15=HsaEX0037551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.36	11.33	18.16	10.46	0.00	NA	NA	NA	NA	NA	NA	1.29	NA	NA	0.00	8.00	NA	NA	NA	NA	NA	NA
SCRIB=HsaEX0056636	88.31	89.72	88.11	86.92	82.11	84.02	79.89	82.07	84.67	85.44	84.22	84.30	77.70	81.66	77.08	74.52	75.35	72.58	63.56	74.47	74.92	85.27	76.44	77.09	75.93	79.06	76.12	63.30	60.80	60.58	60.20	69.15	64.84	64.76
C1orf105=HsaEX0010087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.74	NA	NA	NA	NA	NA	NA
GPR135=HsaEX1015982	13.51	NA	NA	12.72	3.24	6.50	NA	NA	6.49	NA	NA	NA	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAG1=HsaEX0048006	24.37	25.00	30.43	17.07	34.04	37.78	28.57	NA	41.30	NA	45.95	36.36	19.51	16.92	18.52	24.44	29.03	NA	NA	NA	NA	NA	NA	22.35	24.14	NA	21.21	30.00	NA	NA	NA	NA	NA	NA
RNF41=HsaEX0054137	NA	17.23	9.28	11.57	5.40	4.05	0.00	12.72	23.82	22.56	18.21	29.82	0.75	1.09	0.77	0.32	1.38	2.83	0.89	1.87	0.00	0.63	2.04	1.51	0.57	1.97	2.08	0.71	0.65	0.00	2.26	1.12	0.67	0.62
TNRC18=HsaEX0066356	88.08	90.65	87.71	85.66	37.66	34.83	34.96	43.60	82.63	83.43	81.37	82.87	91.64	91.99	92.13	90.26	94.13	96.20	91.76	93.04	94.43	94.77	94.43	91.39	91.96	89.22	95.43	92.03	90.90	87.97	91.94	89.72	92.15	96.71
TNRC18=HsaEX0066353	100.00	NA	NA	NA	75.03	76.26	62.20	NA	100.00	100.00	100.00	NA	99.36	100.00	99.24	98.69	99.71	100.00	99.06	99.18	100.00	100.00	100.00	99.88	99.72	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
SHMT2=HsaEX0058208	96.59	97.00	97.34	95.40	69.08	62.91	67.91	76.36	93.01	93.93	93.38	91.94	98.30	98.30	98.62	97.93	99.07	98.51	99.11	99.03	99.69	99.12	99.00	98.39	98.65	98.96	97.53	98.51	98.64	98.58	98.75	98.39	98.08	98.65
ZSCAN22=HsaEX0074569	84.19	78.59	86.07	90.00	90.92	85.74	93.35	95.65	80.12	80.35	NA	80.00	100.00	100.00	100.00	100.00	100.00	NA	NA	NA	NA	NA	NA	100.00	100.00	100.00	NA	100.00	NA	NA	NA	NA	NA	NA
PLCXD1=HsaEX0048147	98.44	96.23	100.00	100.00	75.51	94.29	74.19	NA	98.20	100.00	100.00	95.56	99.79	100.00	99.63	99.69	99.80	100.00	100.00	99.40	100.00	99.70	99.71	99.63	99.89	99.37	99.48	99.94	100.00	99.68	100.00	100.00	100.00	100.00
CEP97=HsaEX0014871	100.00	100.00	100.00	NA	95.65	91.30	NA	100.00	92.45	NA	NA	100.00	93.18	100.00	100.00	82.86	92.86	NA	NA	NA	NA	NA	NA	71.43	100.00	NA	NA	81.82	NA	NA	NA	NA	NA	NA
C1orf116=HsaEX0010124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.30	NA	NA	NA	83.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.95	NA	NA	NA	NA	NA	NA
LCK=HsaEX0035495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.10	NA	100.00	NA	100.00	NA	NA	NA	NA	NA	NA	92.31	NA	NA	NA	94.54	100.00	91.11	100.00	100.00	77.78	100.00
RBM10=HsaEX0052607	89.23	91.08	89.44	86.72	86.32	89.21	90.28	79.93	86.62	82.00	91.49	86.67	81.88	81.09	80.57	84.40	82.64	84.30	85.58	87.86	78.80	80.10	81.59	80.00	77.40	81.98	80.78	74.69	71.43	66.96	79.37	75.53	79.07	77.42
MTA1=HsaEX6073270	99.61	100.00	98.80	100.00	82.47	81.41	84.40	81.89	98.76	98.35	98.72	99.11	99.69	100.00	99.61	99.51	99.71	98.72	100.00	99.25	100.00	100.00	100.00	99.69	99.38	99.77	100.00	99.42	100.00	98.86	100.00	99.26	99.01	99.52
SLC25A10=HsaEX0058964	30.54	27.27	30.52	35.71	15.38	18.92	16.22	10.89	22.82	22.94	16.67	25.58	8.83	7.74	9.15	9.36	6.23	6.65	4.70	4.41	5.01	7.83	7.80	8.93	9.38	8.02	9.37	5.64	4.34	4.80	6.11	6.73	6.02	6.62
GDPGP1=HsaEX0009597	NA	NA	NA	NA	9.09	NA	NA	NA	NA	NA	NA	NA	19.33	26.83	14.89	16.13	26.56	NA	NA	NA	NA	16.67	25.00	19.51	NA	20.00	12.50	17.32	26.32	NA	18.92	NA	2.70	NA
BCOR=HsaEX0007938	55.27	62.65	50.86	52.82	62.81	63.64	63.78	60.86	47.70	49.86	42.11	49.68	56.78	59.07	59.77	50.39	54.87	60.00	59.42	68.18	70.49	47.62	40.74	52.87	45.45	67.54	46.25	60.12	74.55	55.93	52.94	50.00	62.50	58.90
NPIPA1=HsaEX1026037	18.92	NA	NA	NA	3.57	NA	NA	8.33	10.64	NA	NA	NA	24.86	26.04	25.60	22.96	24.82	20.16	24.70	30.65	21.50	27.20	24.10	22.57	21.55	24.02	22.15	25.53	21.72	24.60	31.75	22.91	30.23	23.81
EP400=HsaEX0022591	14.73	17.31	11.63	14.73	13.16	22.86	9.33	8.43	8.96	7.87	6.49	11.50	13.62	10.40	16.05	14.74	18.92	NA	NA	NA	21.43	21.50	16.67	13.66	13.19	17.01	10.40	22.36	30.23	22.73	NA	NA	18.42	20.00
EP400=HsaEX0022592	76.81	91.44	67.22	74.63	68.61	64.03	NA	73.04	63.49	75.64	NA	63.61	71.84	69.14	73.86	72.34	63.19	NA	NA	25.47	NA	69.72	69.05	66.02	65.06	67.07	66.27	59.62	57.71	65.63	NA	58.14	58.17	54.77
EP400=HsaEX0022594	95.47	96.65	95.01	NA	83.58	NA	NA	95.58	88.05	91.70	NA	80.45	99.78	100.00	99.46	100.00	99.69	100.00	96.39	100.00	100.00	100.00	100.00	99.69	100.00	100.00	98.76	99.70	100.00	100.00	100.00	97.68	100.00	100.00
CHEK2=HsaEX0015145	93.54	90.99	95.07	94.87	94.83	95.25	97.15	92.33	96.79	95.99	96.82	97.36	44.56	44.64	43.85	45.37	64.85	63.38	72.22	70.97	78.79	50.98	59.55	43.23	36.33	45.53	48.10	64.62	59.09	70.00	76.92	61.90	62.16	60.98
LIN9=HsaEX0035889	80.34	84.44	74.03	82.09	86.45	87.65	86.67	85.26	82.73	86.84	78.57	81.82	91.69	85.32	92.73	96.40	91.30	100.00	100.00	NA	NA	76.00	NA	87.97	82.54	94.17	88.24	92.68	100.00	94.29	91.30	NA	100.00	85.37
IQGAP3=HsaEX0032150	92.11	88.89	91.67	NA	15.72	16.67	14.29	15.89	87.88	NA	100.00	81.82	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.36	100.00	98.37	100.00	99.34	100.00	100.00	100.00	100.00	96.83	100.00
SMTN=HsaEX0060533	79.31	NA	NA	NA	17.24	13.04	NA	NA	66.10	NA	NA	75.00	98.31	98.11	98.12	98.88	99.06	100.00	98.37	100.00	98.39	98.73	98.91	96.78	97.06	96.98	96.15	96.59	94.67	93.23	98.02	98.84	100.00	100.00
TBX1=HsaEX0064071	97.67	100.00	100.00	92.67	50.34	NA	NA	NA	92.79	NA	100.00	81.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCMAP=HsaEX1025293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.32	NA	31.71	NA	NA	NA	NA	NA	NA	NA	34.67	25.93	NA	NA	NA	NA	NA	NA	NA	NA	39.39
TMEM173=HsaEX0065582	54.84	NA	NA	NA	13.73	NA	NA	NA	48.00	NA	NA	NA	69.23	65.91	70.18	72.41	74.36	63.64	87.10	64.44	100.00	71.43	72.22	69.07	60.98	77.14	71.43	77.67	78.38	82.42	57.58	71.43	83.33	92.86
PDE4B=HsaEX0046217	90.57	80.65	95.74	92.86	89.80	85.37	100.00	88.24	95.60	100.00	92.31	93.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED12=HsaEX0038528	98.25	95.35	100.00	100.00	78.46	NA	NA	72.41	100.00	100.00	NA	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
MED12=HsaEX0038524	98.91	96.72	100.00	100.00	82.91	95.92	72.97	74.19	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.24	100.00	100.00	93.94	100.00	100.00	100.00
MED12=HsaEX0038530	100.00	100.00	100.00	100.00	79.41	85.45	76.19	74.36	98.05	100.00	94.81	100.00	99.70	100.00	100.00	98.90	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.31	98.83	98.84	96.88	98.65	97.44	95.24	100.00	100.00	100.00	100.00
MED12=HsaEX0038531	100.00	NA	NA	NA	68.70	NA	NA	NA	100.00	NA	NA	NA	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
OSBP2=HsaEX0044858	79.84	66.67	87.88	90.48	35.00	NA	NA	NA	72.29	75.51	71.43	70.59	76.30	90.00	NA	65.96	85.71	90.48	87.50	83.33	NA	NA	82.61	80.28	89.80	66.10	78.57	75.69	84.21	82.61	NA	NA	72.09	88.24
OSBP2=HsaEX0044860	87.95	90.82	85.79	87.13	60.27	55.56	61.54	64.71	82.28	78.31	88.24	80.65	97.80	100.00	96.15	96.61	95.12	100.00	94.74	85.71	92.16	100.00	100.00	92.59	93.04	92.45	91.67	94.62	100.00	NA	83.33	92.00	100.00	95.45
WT1=HsaEX0071650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.04	41.28	38.98	36.94	53.05	NA	NA	83.33	NA	46.67	51.72	51.03	50.00	48.61	55.79	62.05	65.96	56.52	NA	NA	47.62	76.92
FAM227A=HsaEX0054291	16.36	NA	NA	NA	10.00	NA	NA	NA	20.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBOX5=HsaEX0068916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.12	55.63	48.76	39.15	61.16	66.24	77.18	56.74	56.32	66.73	53.72	41.74	52.09	39.75	30.52	69.62	66.79	59.67	69.99	77.34	73.65	75.61
SEMA4B=HsaEX0057101	NA	NA	NA	NA	23.08	NA	NA	NA	NA	NA	NA	NA	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
MROH2A=HsaEX0029586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.48	73.91	100.00	100.00	100.00	NA	NA	NA	NA	NA	NA	88.51	NA	94.29	94.44	94.41	92.98	90.24	NA	100.00	NA	NA
MANEAL=HsaEX0037445	73.91	NA	70.59	NA	69.05	64.71	66.67	76.92	67.68	90.91	68.00	57.69	86.26	86.96	86.07	85.89	84.47	89.47	90.48	84.87	81.82	82.96	80.41	86.11	80.20	89.68	89.79	87.37	91.67	85.56	81.03	89.31	87.63	87.59
ADSSL1=HsaEX0002893	16.79	23.42	11.86	13.00	0.00	NA	NA	0.00	11.86	6.02	6.61	28.77	6.11	6.30	5.52	6.61	16.13	7.14	13.45	18.97	10.08	NA	NA	16.12	19.95	18.31	7.33	25.68	42.33	NA	26.86	23.69	22.08	0.00
PRMT3=HsaEX0050279	81.03	81.62	80.56	80.74	82.69	84.24	84.76	79.45	81.22	79.02	84.85	80.47	94.22	93.55	93.78	94.96	91.70	100.00	100.00	NA	76.00	87.34	95.56	93.87	92.27	93.97	95.33	94.16	92.08	93.60	90.91	NA	91.55	100.00
NOTUM=HsaEX0043424	48.00	NA	NA	NA	12.82	NA	NA	NA	55.56	NA	NA	NA	88.42	88.70	88.36	88.25	94.04	97.69	96.47	91.16	93.45	91.90	94.43	86.87	86.70	87.54	86.26	90.48	87.48	87.37	89.30	91.13	91.88	94.37
NOTUM=HsaEX0043425	96.49	100.00	NA	90.48	30.77	NA	NA	NA	90.24	NA	NA	NA	99.22	99.38	99.04	99.32	99.85	99.76	99.75	100.00	100.00	99.82	99.82	98.53	98.01	98.99	98.65	98.74	98.82	96.97	98.90	99.48	98.81	99.31
CDK10=HsaEX1007974	100.00	100.00	100.00	100.00	85.50	86.61	82.11	87.56	100.00	100.00	100.00	100.00	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK10=HsaEX0014262	81.29	83.10	82.14	77.27	37.75	44.00	28.30	41.67	89.35	91.11	88.46	88.89	88.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf80=HsaEX0009525	98.89	100.00	100.00	96.64	93.26	100.00	89.29	88.68	98.52	97.10	96.97	100.00	95.68	96.36	95.42	95.40	92.45	90.67	92.81	91.14	93.53	92.86	94.62	91.24	89.07	95.20	89.63	85.93	81.82	80.42	83.84	90.74	82.61	92.14
HGS=HsaEX0029894	94.54	93.16	95.03	95.70	79.29	81.13	75.27	80.91	94.39	94.74	96.36	92.57	97.42	97.17	97.25	97.92	97.84	95.83	98.31	97.46	97.74	98.97	98.03	97.30	99.16	97.04	95.44	98.36	97.24	98.11	98.78	100.00	98.36	98.43
HGS=HsaEX0029895	92.23	90.00	92.94	94.24	78.53	75.81	72.17	87.83	94.18	95.56	90.86	95.63	98.24	98.33	98.20	98.23	98.79	99.21	99.24	100.00	98.62	98.40	97.70	99.18	99.44	98.87	99.24	96.68	97.74	96.79	95.34	95.74	97.27	96.64
HGS=HsaEX1016754	NA	23.40	22.45	31.82	10.83	9.64	7.69	15.38	NA	15.15	17.07	12.90	0.89	0.46	0.88	1.26	0.98	0.47	1.38	0.38	0.87	1.32	1.37	0.70	0.56	0.69	0.87	0.89	0.26	0.27	0.94	1.15	1.98	1.52
IFNLR1=HsaEX0031462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.13	100.00	73.39	80.56	96.58	NA	NA	NA	NA	91.94	NA	81.14	70.51	92.75	85.58	89.78	NA	100.00	NA	NA	NA	NA
LMNTD2=HsaEX0008982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.21	100.00	100.00	83.33	94.68	89.47	100.00	100.00	87.10	100.00	90.48	95.12	100.00	91.30	90.00	91.89	91.30	86.67	88.24	100.00	100.00	91.67
LMNTD2=HsaEX0008984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.89	NA	NA	NA	95.74	NA	NA	NA	NA	NA	NA
TLCD2=HsaEX0065062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.48	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.33	NA	NA	NA	NA	NA	NA
AHNAK2=HsaEX0003264	100.00	100.00	100.00	100.00	79.72	69.21	86.47	88.05	90.75	NA	93.20	89.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDIA2=HsaEX0046362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.06	NA	NA	NA	NA	NA	NA
